molecule_chembl_id,smiles,IC50 value
CHEMBL3329559,CC(Oc1ccc(-c2ccccc2)cc1)C(=O)Nc1ccc(Cl)cc1,1100
CHEMBL3329560,O=C(COc1cccc2ccccc12)Nc1ccc(Br)cc1,5000
CHEMBL3329561,C/C(=N\O)c1cccc(C(C)(C)NC(=O)Nc2ccc(Cl)c(Cl)c2)c1,190
CHEMBL3329562,C/C(=N\O)c1cccc(C(C)(C)NC(=O)Nc2ccc(Br)cc2)c1,9
CHEMBL3329563,C/C(=N\O)c1cccc(C(C)(C)NC(=O)Nc2ccc(Cl)c(C(=O)N3CCN(C)CC3)c2)c1,330
CHEMBL3329564,CC(Oc1cccc([N+](=O)[O-])c1Cl)C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1,49
CHEMBL1327127,COc1ccc(NC(=O)Cc2cccc3ccccc23)cc1,1600
CHEMBL4539938,COC(=O)c1c(C)c(=O)[nH]c2ccccc12,1600
CHEMBL576777,CCn1c(SCC(=O)Nc2ccc(OC)cc2)nc2ccsc2c1=O,1400
CHEMBL1462510,Nc1ccc(C(=O)OCc2nc3cc4ccccc4cc3[nH]2)cc1,100
CHEMBL1333422,Nc1ccc(C(=O)OCCCc2nc3cc4ccccc4cc3[nH]2)cc1,900
